# Sample	Reads1.fq[.gz][,Reads2.fq[.gz][,orphans.fq[.gz]]]
D10-ZR-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZR-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZR-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZR-R3_orphans.fq.gz
D01-OH-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OH-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OH-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OH-R1_orphans.fq.gz
D04-ZH-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZH-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZH-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZH-R2_orphans.fq.gz
D08-NF-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-NF-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-NF-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-NF-R3_orphans.fq.gz
D09-ZR-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-ZR-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-ZR-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-ZR-R1_orphans.fq.gz
D10-OR-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-OR-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-OR-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-OR-R3_orphans.fq.gz
D04-NF-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-NF-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-NF-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-NF-R1_orphans.fq.gz
D01-OR-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OR-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OR-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OR-R3_orphans.fq.gz
D07-NF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-NF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-NF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-NF-R2_orphans.fq.gz
D02-OR-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-OR-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-OR-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-OR-R1_orphans.fq.gz
D03-ZH-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-ZH-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-ZH-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-ZH-R3_orphans.fq.gz
D05-ZH-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-ZH-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-ZH-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-ZH-R1_orphans.fq.gz
D05-ZR-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-ZR-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-ZR-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-ZR-R1_orphans.fq.gz
D01-NF-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-NF-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-NF-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-NF-R1_orphans.fq.gz
D01-ZF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-ZF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-ZF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-ZF-R2_orphans.fq.gz
D02-ZF-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-ZF-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-ZF-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-ZF-R1_orphans.fq.gz
D07-OH-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-OH-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-OH-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-OH-R2_orphans.fq.gz
D03-ZF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-ZF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-ZF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-ZF-R2_orphans.fq.gz
D09-ZH-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-ZH-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-ZH-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-ZH-R1_orphans.fq.gz
D07-ZR-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-ZR-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-ZR-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-ZR-R3_orphans.fq.gz
PCO-B1-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B1-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B1-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B1-R3_orphans.fq.gz
D01-OH-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OH-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OH-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OH-R3_orphans.fq.gz
D01-OF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OF-R2_orphans.fq.gz
D01-OR-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OR-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OR-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OR-R2_orphans.fq.gz
D02-OH-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-OH-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-OH-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-OH-R3_orphans.fq.gz
NCO-B1-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B1-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B1-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B1-R1_orphans.fq.gz
PCO-B3-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B3-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B3-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B3-R2_orphans.fq.gz
D10-OR-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-OR-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-OR-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-OR-R2_orphans.fq.gz
D09-ZR-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-ZR-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-ZR-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-ZR-R3_orphans.fq.gz
D04-NF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-NF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-NF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-NF-R2_orphans.fq.gz
D03-OH-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-OH-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-OH-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-OH-R2_orphans.fq.gz
D06-ZR-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-ZR-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-ZR-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-ZR-R2_orphans.fq.gz
D08-OH-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OH-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OH-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OH-R2_orphans.fq.gz
D10-OH-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-OH-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-OH-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-OH-R3_orphans.fq.gz
D06-ZH-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-ZH-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-ZH-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-ZH-R3_orphans.fq.gz
D08-OH-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OH-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OH-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OH-R1_orphans.fq.gz
D02-OF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-OF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-OF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-OF-R2_orphans.fq.gz
D04-ZR-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZR-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZR-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZR-R1_orphans.fq.gz
D07-ZF-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-ZF-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-ZF-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-ZF-R3_orphans.fq.gz
D08-ZF-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-ZF-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-ZF-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-ZF-R1_orphans.fq.gz
D06-NF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-NF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-NF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-NF-R2_orphans.fq.gz
D03-ZR-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-ZR-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-ZR-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-ZR-R3_orphans.fq.gz
D05-OH-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-OH-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-OH-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-OH-R1_orphans.fq.gz
D03-OR-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-OR-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-OR-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-OR-R1_orphans.fq.gz
D05-OH-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-OH-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-OH-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-OH-R2_orphans.fq.gz
D03-OH-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-OH-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-OH-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-OH-R3_orphans.fq.gz
D06-ZH-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-ZH-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-ZH-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-ZH-R1_orphans.fq.gz
NCO-B2-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B2-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B2-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B2-R2_orphans.fq.gz
D10-OF-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-OF-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-OF-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-OF-R1_orphans.fq.gz
D03-ZH-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-ZH-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-ZH-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-ZH-R2_orphans.fq.gz
D01-OH-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OH-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OH-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-OH-R2_orphans.fq.gz
PCO-B2-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B2-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B2-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B2-R3_orphans.fq.gz
D08-OR-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OR-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OR-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OR-R1_orphans.fq.gz
D10-OH-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-OH-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-OH-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-OH-R1_orphans.fq.gz
D07-OF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-OF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-OF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-OF-R2_orphans.fq.gz
D06-OF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-OF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-OF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-OF-R2_orphans.fq.gz
D02-ZH-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-ZH-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-ZH-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-ZH-R2_orphans.fq.gz
D01-NF-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-NF-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-NF-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-NF-R3_orphans.fq.gz
NCO-B3-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B3-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B3-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B3-R2_orphans.fq.gz
D01-ZF-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-ZF-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-ZF-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-ZF-R3_orphans.fq.gz
